year,name,pitcher_id,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
2024,"Cleavinger, Garrett",664076,96.4,95.9,90.7,87.2,,,,,81,
2024,"Bido, Osvaldo",674370,94.8,94.9,86.9,85.8,88.9,,,,,
2024,"Miller, Bobby",676272,97.6,97.3,,88.6,86.4,79.8,,,,
2024,"Alvarado, Jose",621237,,97.8,92.5,,,85.4,,,,
2024,"Matsui, Yuki",673513,92.2,,,86,,74.9,86.6,,81,
2024,"Molina, Anthony",683627,94.8,,,88.7,85.3,82.9,,,,
2024,"Chavez, Jesse",445926,,90.7,88.8,81.4,85.2,75.7,,,,
2024,"Milner, Hoby",571948,88.8,88.5,,,81.1,,,,79.5,
2024,"Lambert, Peter",663567,94.5,93.9,90,86.9,87,77.9,,,,81.3
2024,"Kelly, Kevin",687330,92,90.8,87.8,,,,,,77.3,
2024,"Cabrera, Genesis",650893,95.9,96,89.2,,88.2,78.9,,,,
2024,"Weissert, Greg",669711,93.9,93.7,,85.5,84.6,,,,79.8,
2024,"Mears, Nick",683232,96.7,,,86.5,,81.5,,,,
2024,"Kittredge, Andrew",552640,94,94.7,88.2,88.1,,,,,,
2024,"Yates, Kirby",489446,93.2,,,85.8,,,86.3,,,
2024,"Holmes, Grant",656550,94.6,,92.6,86.5,91.3,84,,,,
2024,"Miller, Mason",695243,100.9,,,87.5,92.3,,96.5,,,
2024,"Bednar, David",670280,97.2,,,,,77.2,92.1,,,
2024,"Suter, Brent",608718,85.8,87.4,,78.4,75.5,,,,,
2024,"Barlow, Scott",605130,91.4,91.1,,81,,77.3,,,,
2024,"Floro, Dylan",571670,89.8,89.9,,83.3,83.5,,,,,
2024,"Koenig, Jared",657649,96.8,95,90.3,,85.5,81.1,,,,
2024,"Anderson, Chase",502624,93.6,92.7,88.8,,83.9,78.9,,,80.5,
2024,"Smyly, Drew",592767,,92.6,88.6,,,80,,,,
2024,"Leiter Jr., Mark",643410,,91.5,88.6,,83.8,73.5,84.2,,79.6,
2024,"Hancock, Emerson",676106,93.4,93.2,,84.1,86.5,,,,,
2024,"Herrin, Tim",682120,95.5,93.9,,87.6,,81.6,,,,
2024,"Cano, Yennier",666974,96.6,96,,87.1,91,,,,,
2024,"Neris, Hector",593576,93,92.8,,85.6,,,82.7,,,
2024,"Faedo, Alex",656412,94,93.5,,83.2,89.1,,,,,
2024,"Jarvis, Bryce",686826,95.7,95.1,89.6,86.4,85.1,83.2,,,,
2024,"Ottavino, Adam",493603,93.2,92.1,87.9,83.2,87.2,,,,78.9,
2024,"Sandlin, Nick",680704,92.6,92.6,,79.4,,,84.8,,,
2024,"Estrada, Jeremiah",669093,97.2,,,89.8,,,83.6,,,
2024,"Rogers, Tyler",643511,82.7,82.3,,73.6,,,,,,
2024,"Hoffman, Jeff",656546,96.6,96.7,,86.8,,,90.5,,,
2024,"Hudson, Daniel",543339,95.1,95.1,,88,88.7,,,,,
2024,"Stratton, Chris",608717,91.8,91.7,,86.1,85.1,79.2,,,83.6,
2024,"Brebbia, John",605154,93.8,,,83.1,91.6,,,,,
2024,"Suarez, Jose",660761,93,91.8,88.7,85,82.9,74.1,,,78.7,
2024,"Faucher, Calvin",676534,,96,91.3,,,85.6,,,88.2,
2024,"Clase, Emmanuel",661403,99.8,100.7,99.5,91,,,,,,
2024,"Hill, Tim",657612,90.7,88.7,,82.2,,,,,,
2024,"Strahm, Matt",621381,93.4,93.4,88.4,81.5,,,,,,
2024,"Kuhl, Chad",641771,95,94,91.5,86.9,87.4,,,,78.8,
2024,"Garrett, Reed",657585,96.8,96.4,91.6,,,,88.2,,85,
2024,"Stanek, Ryne",592773,97.7,95.2,,88,,,89.1,,,
2024,"Diaz, Alexis",664747,93.9,,,87.5,,,,,,
2024,"Thompson, Ryan",657044,92.5,91,,79,,,,,,
2024,"Suarez, Robert",663158,99.1,98.8,92.5,,91.1,,,,,
2024,"Bummer, Aaron",607481,93.6,93.1,87.4,,84.2,82.2,,,82.3,
2024,"Voth, Austin",608723,93.6,,89,,,75.3,,,80.8,
